stock,name,employees,headquarters_city,headquarters_state
AAPL,Apple,164000,Cupertino,CA
GOOG,Google,182000,Mountain View,CA
MSFT,Microsoft,221000,Redmond,WA
TSLA,Tesla,127855,Austin,TX
